Symbol,Name,Sector
AAPL,Apple Inc.,Technology
MSFT,Microsoft Corp.,Technology
GOOGL,Alphabet Inc.,Technology
AMZN,Amazon.com Inc.,Technology
META,Meta Platforms Inc.,Technology
NVDA,NVIDIA Corp.,Technology
TSLA,Tesla Inc.,Consumer Discretionary
JPM,JPMorgan Chase,Financials
V,Visa Inc.,Financials
MA,Mastercard Inc.,Financials
BAC,Bank of America,Financials
GS,Goldman Sachs,Financials
WFC,Wells Fargo,Financials
XOM,Exxon Mobil,Energy
CVX,Chevron Corp.,Energy
HAL,Halliburton Co.,Energy
SLB,Schlumberger,Energy
COP,ConocoPhillips,Energy
OXY,Occidental Petroleum,Energy
MRO,Marathon Oil,Energy
JNJ,Johnson & Johnson,Healthcare
UNH,UnitedHealth Group,Healthcare
PFE,Pfizer Inc.,Healthcare
ABBV,AbbVie Inc.,Healthcare
MRK,Merck & Co.,Healthcare
LLY,Eli Lilly,Healthcare
TMO,Thermo Fisher Scientific,Healthcare
CAT,Caterpillar Inc.,Industrials
DE,Deere & Co.,Industrials
BA,Boeing Co.,Industrials
HON,Honeywell International,Industrials
UNP,Union Pacific,Industrials
CMC,Commercial Metals,Industrials
GE,GE Aerospace,Industrials
LMT,Lockheed Martin,Industrials
PG,Procter & Gamble,Consumer Staples
KO,Coca-Cola Co.,Consumer Staples
PEP,PepsiCo Inc.,Consumer Staples
WMT,Walmart Inc.,Consumer Staples
COST,Costco Wholesale,Consumer Staples
NEE,NextEra Energy,Utilities
DUK,Duke Energy,Utilities
SO,Southern Co.,Utilities
AEP,American Electric Power,Utilities
T,AT&T Inc.,Communication Services
VZ,Verizon Communications,Communication Services
DIS,Walt Disney Co.,Communication Services
NFLX,Netflix Inc.,Communication Services
AMD,Advanced Micro Devices,Technology
INTC,Intel Corp.,Technology
